from,to,rep_period,timestep,value
Asgard_Battery,Asgard_E_demand,1,1,0.0
Asgard_Battery,Asgard_E_demand,1,2,0.0
Asgard_Battery,Asgard_E_demand,1,3,0.0
Asgard_Battery,Asgard_E_demand,1,4,0.0
Asgard_Battery,Asgard_E_demand,1,5,0.0
Asgard_Battery,Asgard_E_demand,1,6,0.0
Asgard_Battery,Asgard_E_demand,1,7,0.0
Asgard_Battery,Asgard_E_demand,1,8,0.0
Asgard_Battery,Asgard_E_demand,1,9,0.0
Asgard_Battery,Asgard_E_demand,1,10,0.0
Asgard_Battery,Asgard_E_demand,1,11,0.0
Asgard_Battery,Asgard_E_demand,1,12,0.0
Asgard_Battery,Asgard_E_demand,1,13,0.0
Asgard_Battery,Asgard_E_demand,1,14,0.0
Asgard_Battery,Asgard_E_demand,1,15,0.0
Asgard_Battery,Asgard_E_demand,1,16,0.0
Asgard_Battery,Asgard_E_demand,1,17,0.0
Asgard_Battery,Asgard_E_demand,1,18,0.0
Asgard_Battery,Asgard_E_demand,1,19,0.0
Asgard_Battery,Asgard_E_demand,1,20,0.0
Asgard_Battery,Asgard_E_demand,1,21,0.0
Asgard_Battery,Asgard_E_demand,1,22,0.0
Asgard_Battery,Asgard_E_demand,1,23,0.0
Asgard_Battery,Asgard_E_demand,1,24,0.0
Asgard_Battery,Asgard_E_demand,1,25,0.0
Asgard_Battery,Asgard_E_demand,1,26,0.0
Asgard_Battery,Asgard_E_demand,1,27,0.0
Asgard_Battery,Asgard_E_demand,1,28,0.0
Asgard_Battery,Asgard_E_demand,1,29,0.0
Asgard_Battery,Asgard_E_demand,1,30,0.0
Asgard_Battery,Asgard_E_demand,1,31,0.0
Asgard_Battery,Asgard_E_demand,1,32,0.0
Asgard_Battery,Asgard_E_demand,1,33,0.0
Asgard_Battery,Asgard_E_demand,1,34,0.0
Asgard_Battery,Asgard_E_demand,1,35,0.0
Asgard_Battery,Asgard_E_demand,1,36,0.0
Asgard_Battery,Asgard_E_demand,1,37,0.0
Asgard_Battery,Asgard_E_demand,1,38,0.0
