asset,rep_period,timestep,value,processed_value
Asgard_Battery,1,1,0.0,0.0
Asgard_Battery,1,2,0.0,0.0
Asgard_Battery,1,3,0.0,0.0
Asgard_Battery,1,4,0.0,0.0
Asgard_Battery,1,5,0.0,0.0
Asgard_Battery,1,6,0.0,0.0
Asgard_Battery,1,7,41.79999999999999,13.93333333333333
Asgard_Battery,1,8,41.79999999999999,27.86666666666666
Asgard_Battery,1,9,41.79999999999999,41.79999999999999
Asgard_Battery,1,10,416.1,166.56666666666666
Asgard_Battery,1,11,416.1,291.33333333333337
Asgard_Battery,1,12,416.1,416.1
Asgard_Battery,1,13,718.2,516.8
Asgard_Battery,1,14,718.2,617.5
Asgard_Battery,1,15,718.2,718.2
Asgard_Battery,1,16,720.1,718.8333333333334
Asgard_Battery,1,17,720.1,719.4666666666667
Asgard_Battery,1,18,720.1,720.1
Asgard_Battery,1,19,720.1,720.1
Asgard_Battery,1,20,720.1,720.1
Asgard_Battery,1,21,720.1,720.1
Asgard_Battery,1,22,720.1,720.1
Asgard_Battery,1,23,720.1,720.1
Asgard_Battery,1,24,720.1,720.1
Asgard_Battery,1,25,720.1,720.1
Asgard_Battery,1,26,720.1,720.1
Asgard_Battery,1,27,720.1,720.1
Asgard_Battery,1,28,720.1,720.1
Asgard_Battery,1,29,720.1,720.1
Asgard_Battery,1,30,720.1,720.1
Asgard_Battery,1,31,739.1,726.4333333333333
Asgard_Battery,1,32,739.1,732.7666666666667
Asgard_Battery,1,33,739.1,739.1
Asgard_Battery,1,34,829.0,769.0666666666667
Asgard_Battery,1,35,829.0,799.0333333333333
Asgard_Battery,1,36,829.0,829.0
Asgard_Battery,1,37,1000.0,886.0
Asgard_Battery,1,38,1000.0,943.0
Asgard_Battery,1,39,1000.0,1000.0
Asgard_Battery,1,40,1000.0,1000.0
Asgard_Battery,1,41,1000.0,1000.0
Asgard_Battery,1,42,1000.0,1000.0
Asgard_Battery,1,43,1000.0,1000.0
Asgard_Battery,1,44,1000.0,1000.0
Asgard_Battery,1,45,1000.0,1000.0
Asgard_Battery,1,46,1000.0,1000.0
Asgard_Battery,1,47,1000.0,1000.0
