asset,rep_period,timestep,value,processed_value
Midgard_PHS,2,1,647.0588235294118,647.0588235294118
Midgard_PHS,2,2,-0.0,0.0
Midgard_PHS,2,3,-0.0,0.0
Midgard_PHS,2,4,0.0,0.0
Midgard_PHS,2,5,0.0,0.0
Midgard_PHS,2,6,0.0,0.0
Midgard_PHS,2,7,65.0,65.0
Midgard_PHS,2,8,532.5,532.5
Midgard_PHS,2,9,1000.0,1000.0
Midgard_PHS,2,10,1000.0,1000.0
Midgard_PHS,2,11,352.9411764705882,352.9411764705882
Midgard_PHS,2,12,-0.0,0.0
Midgard_PHS,2,13,0.0,0.0
Midgard_PHS,2,14,0.0,0.0
Midgard_PHS,2,15,0.0,0.0
Midgard_PHS,2,16,153.60320999670554,153.60320999670554
Midgard_PHS,2,17,-0.0,0.0
Midgard_PHS,2,18,0.0,0.0
Midgard_PHS,2,19,0.0,0.0
Midgard_PHS,2,20,0.0,0.0
Midgard_PHS,2,21,-0.0,0.0
Midgard_PHS,2,22,65.0,65.0
Midgard_PHS,2,23,532.5,532.5
Midgard_PHS,2,24,1000.0,1000.0
Midgard_PHS,1,1,-0.0,0.0
Midgard_PHS,1,2,-0.0,0.0
Midgard_PHS,1,3,-0.0,0.0
Midgard_PHS,1,4,-0.0,0.0
Midgard_PHS,1,5,-0.0,0.0
Midgard_PHS,1,6,-0.0,0.0
Midgard_PHS,1,7,-0.0,0.0
Midgard_PHS,1,8,-0.0,0.0
Midgard_PHS,1,9,-0.0,0.0
Midgard_PHS,1,10,-0.0,0.0
Midgard_PHS,1,11,-0.0,0.0
Midgard_PHS,1,12,-0.0,0.0
Midgard_PHS,1,13,-0.0,0.0
Midgard_PHS,1,14,-0.0,0.0
Midgard_PHS,1,15,-0.0,0.0
Midgard_PHS,1,16,-0.0,0.0
Midgard_PHS,1,17,-0.0,0.0
Midgard_PHS,1,18,-0.0,0.0
Midgard_PHS,1,19,-0.0,0.0
Midgard_PHS,1,20,-0.0,0.0
Midgard_PHS,1,21,-0.0,0.0
Midgard_PHS,1,22,-0.0,0.0
Midgard_PHS,1,23,-0.0,0.0
Midgard_PHS,1,24,-0.0,0.0
Midgard_PHS,1,25,-0.0,0.0
Midgard_PHS,1,26,-0.0,0.0
Midgard_PHS,1,27,-0.0,0.0
Midgard_PHS,1,28,-0.0,0.0
Midgard_PHS,1,29,-0.0,0.0
Midgard_PHS,1,30,-0.0,0.0
Midgard_PHS,1,31,-0.0,0.0
Midgard_PHS,1,32,-0.0,0.0
Midgard_PHS,1,33,-0.0,0.0
Midgard_PHS,1,34,-0.0,0.0
Midgard_PHS,1,35,-0.0,0.0
Midgard_PHS,1,36,-0.0,0.0
Midgard_PHS,1,37,-0.0,0.0
Midgard_PHS,1,38,-0.0,0.0
Midgard_PHS,1,39,-0.0,0.0
Midgard_PHS,1,40,-0.0,0.0
Midgard_PHS,1,41,-0.0,0.0
Midgard_PHS,1,42,-0.0,0.0
Midgard_PHS,1,43,-0.0,0.0
Midgard_PHS,1,44,-0.0,0.0
Midgard_PHS,1,45,-0.0,0.0
Midgard_PHS,1,46,65.0,65.0
Midgard_PHS,1,47,532.5,532.5
Midgard_PHS,1,48,1000.0,1000.0
Midgard_PHS,1,49,1000.0,1000.0
Midgard_PHS,1,50,1000.0,1000.0
Midgard_PHS,1,51,1000.0,1000.0
Midgard_PHS,1,52,1000.0,1000.0
Midgard_PHS,1,53,1000.0,1000.0
Midgard_PHS,1,54,1000.0,1000.0
Midgard_PHS,1,55,1000.0,1000.0
Midgard_PHS,1,56,1000.0,1000.0
Midgard_PHS,1,57,1000.0,1000.0
Midgard_PHS,1,58,1000.0,1000.0
Midgard_PHS,1,59,1000.0,1000.0
Midgard_PHS,1,60,1000.0,1000.0
