from_asset,to_asset,commission_year,conversion_coefficient,capacity_coefficient,fixed_cost,investment_cost,investment_limit,producer_efficiency
wind,e_demand,2030,1.0,1.0,0.0,0.0,,1.0
ccgt,e_demand,2030,1.0,1.0,0.0,0.0,,1.0
ocgt,e_demand,2030,1.0,1.0,0.0,0.0,,1.0
solar,e_demand,2030,1.0,1.0,0.0,0.0,,1.0
ens,e_demand,2030,1.0,1.0,0.0,0.0,,1.0
electrolizer,h2_demand,2030,1.0,1.0,0.0,0.0,,1.0
e_demand,electrolizer,2030,1.0,1.0,0.0,0.0,,1.0
smr_ccs,h2_demand,2030,1.0,1.0,0.0,0.0,,1.0
wind_offshore,e_demand,2030,1.0,1.0,0.0,0.0,,1.0
wind_offshore,electrolizer,2030,1.0,1.0,0.0,0.0,,1.0
battery,e_demand,2030,1.0,1.0,0.0,0.0,,1.0
e_demand,battery,2030,1.0,1.0,0.0,0.0,,1.0
h2_storage,h2_demand,2030,1.0,1.0,0.0,0.0,,1.0
h2_demand,h2_storage,2030,1.0,1.0,0.0,0.0,,1.0
hydro_reservoir,e_demand,2030,1.0,1.0,0.0,0.0,,1.0
wind,e_demand,2050,1.0,1.0,0.0,0.0,,1.0
ccgt,e_demand,2050,1.0,1.0,0.0,0.0,,1.0
ocgt,e_demand,2050,1.0,1.0,0.0,0.0,,1.0
solar,e_demand,2050,1.0,1.0,0.0,0.0,,1.0
ens,e_demand,2050,1.0,1.0,0.0,0.0,,1.0
electrolizer,h2_demand,2050,1.0,1.0,0.0,0.0,,1.0
e_demand,electrolizer,2050,1.0,1.0,0.0,0.0,,1.0
smr_ccs,h2_demand,2050,1.0,1.0,0.0,0.0,,1.0
wind_offshore,e_demand,2050,1.0,1.0,0.0,0.0,,1.0
wind_offshore,electrolizer,2050,1.0,1.0,0.0,0.0,,1.0
battery,e_demand,2050,1.0,1.0,0.0,0.0,,1.0
e_demand,battery,2050,1.0,1.0,0.0,0.0,,1.0
h2_storage,h2_demand,2050,1.0,1.0,0.0,0.0,,1.0
h2_demand,h2_storage,2050,1.0,1.0,0.0,0.0,,1.0
hydro_reservoir,e_demand,2050,1.0,1.0,0.0,0.0,,1.0
