year,period,rep_period,weight
2030,1,1,1.0
2030,2,1,1.0
2030,3,2,1.0
2030,4,2,1.0
2030,5,2,1.0
2030,6,2,1.0
2030,7,2,1.0
2030,8,3,1.0
2030,9,3,1.0
2030,10,3,1.0
2030,11,1,1.0
2030,12,1,1.0
2030,13,2,1.0
2030,14,2,1.0
2030,15,2,1.0
2030,16,2,1.0
2030,17,2,1.0
2030,18,3,1.0
2030,19,3,1.0
2030,20,3,1.0
2030,21,1,1.0
2030,22,1,1.0
2030,23,2,1.0
2030,24,2,1.0
2030,25,2,1.0
2030,26,2,1.0
2030,27,2,1.0
2030,28,3,1.0
2030,29,3,1.0
2030,30,3,1.0
2030,31,1,1.0
2030,32,1,1.0
2030,33,2,1.0
2030,34,2,1.0
2030,35,2,1.0
2030,36,2,1.0
2030,37,2,1.0
2030,38,3,1.0
2030,39,3,1.0
2030,40,3,1.0
2030,41,1,1.0
2030,42,1,1.0
2030,43,2,1.0
2030,44,2,1.0
2030,45,2,1.0
2030,46,2,1.0
2030,47,2,1.0
2030,48,3,1.0
2030,49,3,1.0
2030,50,3,1.0
2030,51,1,1.0
2030,52,1,1.0
2030,53,2,1.0
2030,54,2,1.0
2030,55,2,1.0
2030,56,2,1.0
2030,57,2,1.0
2030,58,3,1.0
2030,59,3,1.0
2030,60,3,1.0
2030,61,1,1.0
2030,62,1,1.0
2030,63,2,1.0
2030,64,2,1.0
2030,65,2,1.0
2030,66,2,1.0
2030,67,2,1.0
2030,68,3,1.0
2030,69,3,1.0
2030,70,3,1.0
2030,71,1,1.0
2030,72,1,1.0
2030,73,2,1.0
2030,74,2,1.0
2030,75,2,1.0
2030,76,2,1.0
2030,77,2,1.0
2030,78,3,1.0
2030,79,3,1.0
2030,80,3,1.0
2030,81,1,1.0
2030,82,1,1.0
2030,83,2,1.0
2030,84,2,1.0
2030,85,2,1.0
2030,86,2,1.0
2030,87,2,1.0
2030,88,3,1.0
2030,89,3,1.0
2030,90,3,1.0
2030,91,1,1.0
2030,92,1,1.0
2030,93,2,1.0
2030,94,2,1.0
2030,95,2,1.0
2030,96,2,1.0
2030,97,2,1.0
2030,98,3,1.0
2030,99,3,1.0
2030,100,3,1.0
2030,101,1,1.0
2030,102,1,1.0
2030,103,2,1.0
2030,104,2,1.0
2030,105,2,1.0
2030,106,2,1.0
2030,107,2,1.0
2030,108,3,1.0
2030,109,3,1.0
2030,110,3,1.0
2030,111,1,1.0
2030,112,1,1.0
2030,113,2,1.0
2030,114,2,1.0
2030,115,2,1.0
2030,116,2,1.0
2030,117,2,1.0
2030,118,3,1.0
2030,119,3,1.0
2030,120,3,1.0
2030,121,1,1.0
2030,122,1,1.0
2030,123,2,1.0
2030,124,2,1.0
2030,125,2,1.0
2030,126,2,1.0
2030,127,2,1.0
2030,128,3,1.0
2030,129,3,1.0
2030,130,3,1.0
2030,131,1,1.0
2030,132,1,1.0
2030,133,2,1.0
2030,134,2,1.0
2030,135,2,1.0
2030,136,2,1.0
2030,137,2,1.0
2030,138,3,1.0
2030,139,3,1.0
2030,140,3,1.0
2030,141,1,1.0
2030,142,1,1.0
2030,143,2,1.0
2030,144,2,1.0
2030,145,2,1.0
2030,146,2,1.0
2030,147,2,1.0
2030,148,3,1.0
2030,149,3,1.0
2030,150,3,1.0
2030,151,1,1.0
2030,152,1,1.0
2030,153,2,1.0
2030,154,2,1.0
2030,155,2,1.0
2030,156,2,1.0
2030,157,2,1.0
2030,158,3,1.0
2030,159,3,1.0
2030,160,3,1.0
2030,161,1,1.0
2030,162,1,1.0
2030,163,2,1.0
2030,164,2,1.0
2030,165,2,1.0
2030,166,2,1.0
2030,167,2,1.0
2030,168,3,1.0
2030,169,3,1.0
2030,170,3,1.0
2030,171,1,1.0
2030,172,1,1.0
2030,173,2,1.0
2030,174,2,1.0
2030,175,2,1.0
2030,176,2,1.0
2030,177,2,1.0
2030,178,3,1.0
2030,179,3,1.0
2030,180,3,1.0
2030,181,1,1.0
2030,182,1,1.0
2030,183,2,1.0
2030,184,2,1.0
2030,185,2,1.0
