asset,initial_storage_level,investable,max_energy_timeframe_partition,milestone_year,min_energy_timeframe_partition,peak_demand,storage_inflows,units_on_cost,commodity_price
NL_E_Demand,,false,,2050,,37487.25257,0,0.0,0
BE_E_Demand,,false,,2050,,26322.90865,0,0.0,0
DE_E_Demand,,false,,2050,,125041.1243,0,0.0,0
FR_E_Demand,,false,,2050,,91601.00618,0,0.0,0
DK_E_Demand,,false,,2050,,6316.626413,0,0.0,0
UK_E_Demand,,false,,2050,,118630.2474,0,0.0,0
IE_E_Demand,,false,,2050,,10918.34823,0,0.0,0
CH_E_Demand,,false,,2050,,12735.08856,0,0.0,0
AT_E_Demand,,false,,2050,,18775.78042,0,0.0,0
LU_E_Demand,,false,,2050,,2670.942648,0,0.0,0
CZ_E_Demand,,false,,2050,,13127.73612,0,0.0,0
PL_E_Demand,,false,,2050,,37059.16112,0,0.0,0
SE_E_Demand,,false,,2050,,29958.16458,0,0.0,0
NO_E_Demand,,false,,2050,,30109.65055,0,0.0,0
ES_E_Demand,,false,,2050,,55090.26507,0,0.0,0
PT_E_Demand,,false,,2050,,10411.0523,0,0.0,0
IT_E_Demand,,false,,2050,,80321.05864,0,0.0,0
MT_E_Demand,,false,,2050,,632.2089885,0,0.0,0
SI_E_Demand,,false,,2050,,3461.524237,0,0.0,0
HU_E_Demand,,false,,2050,,12967.15039,0,0.0,0
SK_E_Demand,,false,,2050,,6547.951746,0,0.0,0
LT_E_Demand,,false,,2050,,3420.536077,0,0.0,0
LV_E_Demand,,false,,2050,,2358.298063,0,0.0,0
EE_E_Demand,,false,,2050,,2709.725187,0,0.0,0
FI_E_Demand,,false,,2050,,19297.61551,0,0.0,0
HR_E_Demand,,false,,2050,,4605.988696,0,0.0,0
GR_E_Demand,,false,,2050,,16631.27631,0,0.0,0
BG_E_Demand,,false,,2050,,7401.237471,0,0.0,0
RO_E_Demand,,false,,2050,,15814.56593,0,0.0,0
CY_E_Demand,,false,,2050,,1563.589525,0,0.0,0
OBZLL_E_Demand,,false,,2050,,0.0,0,0.0,0
NL_H_Demand,,false,,2050,,16004.56621,0,0.0,0
BE_H_Demand,,false,,2050,,11118.72146,0,0.0,0
DE_H_Demand,,false,,2050,,68344.74886,0,0.0,0
FR_H_Demand,,false,,2050,,6803.652968,0,0.0,0
DK_H_Demand,,false,,2050,,2305.936073,0,0.0,0
UK_H_Demand,,false,,2050,,35589.07422,0,0.0,0
IE_H_Demand,,false,,2050,,2705.479452,0,0.0,0
CH_H_Demand,,false,,2050,,3820.526568,0,0.0,0
AT_H_Demand,,false,,2050,,5730.593607,0,0.0,0
LU_H_Demand,,false,,2050,,513.6986301,0,0.0,0
CZ_H_Demand,,false,,2050,,4703.196347,0,0.0,0
PL_H_Demand,,false,,2050,,14942.92237,0,0.0,0
SE_H_Demand,,false,,2050,,8664.383562,0,0.0,0
NO_H_Demand,,false,,2050,,9032.895165,0,0.0,0
ES_H_Demand,,false,,2050,,20970.31963,0,0.0,0
PT_H_Demand,,false,,2050,,3515.981735,0,0.0,0
IT_H_Demand,,false,,2050,,16666.66667,0,0.0,0
MT_H_Demand,,false,,2050,,68.49315068,0,0.0,0
SI_H_Demand,,false,,2050,,650.6849315,0,0.0,0
HU_H_Demand,,false,,2050,,4212.328767,0,0.0,0
SK_H_Demand,,false,,2050,,2716.894977,0,0.0,0
LT_H_Demand,,false,,2050,,2066.210046,0,0.0,0
LV_H_Demand,,false,,2050,,308.2191781,0,0.0,0
EE_H_Demand,,false,,2050,,194.0639269,0,0.0,0
FI_H_Demand,,false,,2050,,5410.958904,0,0.0,0
HR_H_Demand,,false,,2050,,924.6575342,0,0.0,0
GR_H_Demand,,false,,2050,,6575.342466,0,0.0,0
BG_H_Demand,,false,,2050,,1518.26484,0,0.0,0
RO_H_Demand,,false,,2050,,4897.260274,0,0.0,0
CY_H_Demand,,false,,2050,,285.3881279,0,0.0,0
OBZLL_H_Demand,,false,,2050,,0.0,0,0.0,0
SPILLAGE,,false,,2050,,0.0,0,0.0,0
NL_electrolyzer,,false,,2050,,0.0,0,0.0,0
BE_electrolyzer,,false,,2050,,0.0,0,0.0,0
DE_electrolyzer,,false,,2050,,0.0,0,0.0,0
FR_electrolyzer,,false,,2050,,0.0,0,0.0,0
DK_electrolyzer,,false,,2050,,0.0,0,0.0,0
UK_electrolyzer,,false,,2050,,0.0,0,0.0,0
IE_electrolyzer,,false,,2050,,0.0,0,0.0,0
CH_electrolyzer,,false,,2050,,0.0,0,0.0,0
AT_electrolyzer,,false,,2050,,0.0,0,0.0,0
LU_electrolyzer,,false,,2050,,0.0,0,0.0,0
CZ_electrolyzer,,false,,2050,,0.0,0,0.0,0
PL_electrolyzer,,false,,2050,,0.0,0,0.0,0
SE_electrolyzer,,false,,2050,,0.0,0,0.0,0
NO_electrolyzer,,false,,2050,,0.0,0,0.0,0
ES_electrolyzer,,false,,2050,,0.0,0,0.0,0
PT_electrolyzer,,false,,2050,,0.0,0,0.0,0
IT_electrolyzer,,false,,2050,,0.0,0,0.0,0
MT_electrolyzer,,false,,2050,,0.0,0,0.0,0
SI_electrolyzer,,false,,2050,,0.0,0,0.0,0
HU_electrolyzer,,false,,2050,,0.0,0,0.0,0
SK_electrolyzer,,false,,2050,,0.0,0,0.0,0
LT_electrolyzer,,false,,2050,,0.0,0,0.0,0
LV_electrolyzer,,false,,2050,,0.0,0,0.0,0
EE_electrolyzer,,false,,2050,,0.0,0,0.0,0
FI_electrolyzer,,false,,2050,,0.0,0,0.0,0
HR_electrolyzer,,false,,2050,,0.0,0,0.0,0
GR_electrolyzer,,false,,2050,,0.0,0,0.0,0
BG_electrolyzer,,false,,2050,,0.0,0,0.0,0
RO_electrolyzer,,false,,2050,,0.0,0,0.0,0
CY_electrolyzer,,false,,2050,,0.0,0,0.0,0
OBZLL_electrolyzer,,false,,2050,,0.0,0,0.0,0
NL_E_Balance,,false,,2050,,0.0,0,0.0,0
BE_E_Balance,,false,,2050,,0.0,0,0.0,0
DE_E_Balance,,false,,2050,,0.0,0,0.0,0
FR_E_Balance,,false,,2050,,0.0,0,0.0,0
DK_E_Balance,,false,,2050,,0.0,0,0.0,0
UK_E_Balance,,false,,2050,,0.0,0,0.0,0
IE_E_Balance,,false,,2050,,0.0,0,0.0,0
CH_E_Balance,,false,,2050,,0.0,0,0.0,0
AT_E_Balance,,false,,2050,,0.0,0,0.0,0
LU_E_Balance,,false,,2050,,0.0,0,0.0,0
CZ_E_Balance,,false,,2050,,0.0,0,0.0,0
PL_E_Balance,,false,,2050,,0.0,0,0.0,0
SE_E_Balance,,false,,2050,,0.0,0,0.0,0
NO_E_Balance,,false,,2050,,0.0,0,0.0,0
ES_E_Balance,,false,,2050,,0.0,0,0.0,0
PT_E_Balance,,false,,2050,,0.0,0,0.0,0
IT_E_Balance,,false,,2050,,0.0,0,0.0,0
MT_E_Balance,,false,,2050,,0.0,0,0.0,0
SI_E_Balance,,false,,2050,,0.0,0,0.0,0
HU_E_Balance,,false,,2050,,0.0,0,0.0,0
SK_E_Balance,,false,,2050,,0.0,0,0.0,0
LT_E_Balance,,false,,2050,,0.0,0,0.0,0
LV_E_Balance,,false,,2050,,0.0,0,0.0,0
EE_E_Balance,,false,,2050,,0.0,0,0.0,0
FI_E_Balance,,false,,2050,,0.0,0,0.0,0
HR_E_Balance,,false,,2050,,0.0,0,0.0,0
GR_E_Balance,,false,,2050,,0.0,0,0.0,0
BG_E_Balance,,false,,2050,,0.0,0,0.0,0
RO_E_Balance,,false,,2050,,0.0,0,0.0,0
CY_E_Balance,,false,,2050,,0.0,0,0.0,0
OBZLL_E_Balance,,false,,2050,,0.0,0,0.0,0
NL_E_ENS,,false,,2050,,0.0,0,0.0,0
NL_Wind_Onshore,,false,,2050,,0.0,0,0.0,0
NL_Wind_Offshore,,false,,2050,,0.0,0,0.0,0
NL_Solar,,false,,2050,,0.0,0,0.0,0
NL_Gas,,false,,2050,,0.0,0,0.0,0
NL_OCGT,,false,,2050,,0.0,0,0.0,0
BE_E_ENS,,false,,2050,,0.0,0,0.0,0
BE_Wind_Onshore,,false,,2050,,0.0,0,0.0,0
BE_Wind_Offshore,,false,,2050,,0.0,0,0.0,0
BE_Solar,,false,,2050,,0.0,0,0.0,0
BE_Hydro,,false,,2050,,0.0,0,0.0,0
BE_Gas,,false,,2050,,0.0,0,0.0,0
BE_OCGT,,false,,2050,,0.0,0,0.0,0
DE_E_ENS,,false,,2050,,0.0,0,0.0,0
DE_Wind_Onshore,,false,,2050,,0.0,0,0.0,0
DE_Wind_Offshore,,false,,2050,,0.0,0,0.0,0
DE_Solar,,false,,2050,,0.0,0,0.0,0
DE_Hydro,,false,,2050,,0.0,0,0.0,0
DE_Coal,,false,,2050,,0.0,0,0.0,0
DE_Gas,,false,,2050,,0.0,0,0.0,0
DE_OCGT,,false,,2050,,0.0,0,0.0,0
